"id","title","description","link","price","brand","condition","image_link","weight","product_type","quantity"
"yippee1-piece","Yippee","Yippee","https://lavv.bizrise.in/p/yippee1-piece","5.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/45f9d6ed-5d6a-47cc-94bc-62c45bbbeda7.png","100.0","Yippee","In stock",""
"chocolate-nuts-cookies-250-gms","Chocolate Nuts Cookies 250 gms","Chocolate Nuts Cookies 250 gms","https://lavv.bizrise.in/p/chocolate-nuts-cookies-250-gms","110.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Chocolate Nuts Cookies 250 gms","In stock",""
"chocolate-nuts-cookies-box-400-gms","Chocolate Nuts Cookies Box (400 gms)","Chocolate Nuts Cookies Box (400 gms)","https://lavv.bizrise.in/p/chocolate-nuts-cookies-box-400-gms","190.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Chocolate Nuts Cookies Box (400 gms)","In stock",""
"as","as","as","https://lavv.bizrise.in/p/as","20000.0","default","NEW","","100.0","as","In stock",""
"egg-masala","Egg Masala","Egg Masala","https://lavv.bizrise.in/p/egg-masala","170.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Egg Masala","In stock",""
"telangana-chicken-curry-boneless","Telangana Chicken Curry (Boneless) ","Telangana Chicken Curry (Boneless) ","https://lavv.bizrise.in/p/telangana-chicken-curry-boneless","270.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Telangana Chicken Curry (Boneless) ","In stock",""
"mutton-sheek-kabab","Mutton Sheek Kabab","Mutton Sheek Kabab","https://lavv.bizrise.in/p/mutton-sheek-kabab","320.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mutton Sheek Kabab","In stock",""
"jens1-piece","Jens","Jens","https://lavv.bizrise.in/p/jens1-piece","1299.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/5452/e026772d-0aa3-4e98-8dd9-eebb1453b648.png","100.0","Jens","In stock",""
"41pollo-fish","Apollo Fish","Apollo Fish","https://lavv.bizrise.in/p/41pollo-fish","290.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Apollo Fish","In stock",""
"finger-fish","Finger Fish","Finger Fish","https://lavv.bizrise.in/p/finger-fish","300.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Finger Fish","In stock",""
"lavanya","lavanya","<p><br></p>","https://lavv.bizrise.in/p/lavanya","2.0","default","NEW","","100.0","lavanya","In stock",""
"sev500-gm","Sev","Sev","https://lavv.bizrise.in/p/sev500-gm","90.0","default","NEW","https://mydukaan-prod.s3.amazonaws.com/101415/212914c6-46fa-4858-add4-51e43f1bbe17.png","100.0","Sev","In stock",""
"chocolate-walnut-muffins-pack-of-2","Chocolate Walnut Muffins Pack of 2","Chocolate Walnut Muffins Pack of 2","https://lavv.bizrise.in/p/chocolate-walnut-muffins-pack-of-2","60.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Chocolate Walnut Muffins Pack of 2","In stock",""
"dum-ka-chicken-bones","Dum Ka Chicken (Bones)","Dum Ka Chicken (Bones)","https://lavv.bizrise.in/p/dum-ka-chicken-bones","280.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Dum Ka Chicken (Bones)","In stock",""
"baby-corn-masala","Baby Corn Masala","Baby Corn Masala","https://lavv.bizrise.in/p/baby-corn-masala","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Baby Corn Masala","In stock",""
"vanilla-biscuits-box-400-gms","Vanilla Biscuits Box (400 gms)","Vanilla Biscuits Box (400 gms)","https://lavv.bizrise.in/p/vanilla-biscuits-box-400-gms","140.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Vanilla Biscuits Box (400 gms)","In stock",""
"hariyali-paneer-tikka","Hariyali Paneer Tikka","Hariyali Paneer Tikka","https://lavv.bizrise.in/p/hariyali-paneer-tikka","220.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Hariyali Paneer Tikka","In stock",""
"chicken-fry-bones","Chicken Fry (Bones)","Chicken Fry (Bones)","https://lavv.bizrise.in/p/chicken-fry-bones","260.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Fry (Bones)","In stock",""
"chicken-canton-soup","Chicken Canton Soup","Chicken Canton Soup","https://lavv.bizrise.in/p/chicken-canton-soup","110.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chicken Canton Soup","In stock",""
"veg-spring-rools","VEG SPRING ROOLS","VEG SPRING ROOLS","https://lavv.bizrise.in/p/veg-spring-rools","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","VEG SPRING ROOLS","In stock",""
"butter-pista-biscuits-box-400-gms","Butter Pista Biscuits Box (400 gms)","Butter Pista Biscuits Box (400 gms)","https://lavv.bizrise.in/p/butter-pista-biscuits-box-400-gms","250.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","Butter Pista Biscuits Box (400 gms)","In stock",""
"mushroom-fried-rice","Mushroom Fried Rice","Mushroom Fried Rice","https://lavv.bizrise.in/p/mushroom-fried-rice","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Mushroom Fried Rice","In stock",""
"chilli-garlic-chicken-wet","Chilli Garlic Chicken (Wet)","Chilli Garlic Chicken (Wet)","https://lavv.bizrise.in/p/chilli-garlic-chicken-wet","230.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Chilli Garlic Chicken (Wet)","In stock",""
"swiggy-pizza10","swiggy Pizza","swiggy Pizza","https://lavv.bizrise.in/p/swiggy-pizza10","1999.0","default","NEW","https://bizrise.s3.ap-south-1.amazonaws.com/store/img/3IajJYVcPbPMvKCe9h3ClPn9pmF2/swiggy-pizza10.jpg","100.0","swiggy Pizza","In stock",""
"chilly-b41bycorn","CHILLY BABYCORN","CHILLY BABYCORN","https://lavv.bizrise.in/p/chilly-b41bycorn","190.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","CHILLY BABYCORN","In stock",""
"paneer-tikka-masala","Paneer Tikka Masala","Paneer Tikka Masala","https://lavv.bizrise.in/p/paneer-tikka-masala","210.0","default","NEW","https://cdn.dotpe.in/longtail/store-items/default_image.png","100.0","Paneer Tikka Masala","In stock",""
"abcsmall","abc","bsbsbsbsb","https://lavv.bizrise.in/p/abcsmall","10.0","default","NEW","https://lavv.bikry.com/static/bizrise/img/ph.png","100.0","abc","In stock",""
